,Item Number,Weight,Season,Sourced From,Made In,Lifestage,Breed Size,Food Form,Special Diet,name,Ingredients,Reccomendation Rate,Rating,Review Count,Shop Conscious,Packaging Type,Food Texture,Dimensions,Test Type,Administration Form,Product Form,Drug Type,Dog Breed,Grooming Feature,Health Condition,NASC Certified,Age Requirement,Restricted Availability,Toy Feature,Toy Flavor,Material,Farm Animal Type
67510,67510,6 pounds,N/A,Various,United States,Adult,"Small Breeds, Medium Breeds, Large Breeds, All Breeds",Dry Food,"High-Protein, High Fiber, With Grain",Purina Pro Plan High Protein Shredded Blend Chicken & Rice Formula with Probiotics Dry Dog Food,"Chicken, Rice, Whole Grain Wheat, Poultry By-product Meal (Source Of Glucosamine), Soybean Meal, Beef Fat Preserved With Mixed-tocopherols, Corn Gluten Meal, Whole Grain Corn, Dried Egg Product, Fish Meal (Source Of Glucosamine), Natural Flavor, Glycerin, Wheat Bran, Calcium Carbonate, Mono And Dicalcium Phosphate, Salt, Soybean Oil, Potassium Chloride, Fish Oil, Minerals [Zinc Proteinate, Manganese Proteinate, Ferrous Sulfate, Copper Proteinate, Calcium Iodate, Sodium Selenite], Vitamins [Vitamin E Supplement, Niacin (Vitamin B-3), Vitamin A Supplement, Calcium Pantothenate (Vitamin B-5), Thiamine Mononitrate (Vitamin B-1), Vitamin B-12 Supplement, Riboflavin Supplement (Vitamin B-2), Pyridoxine Hydrochloride (Vitamin B-6), Folic Acid (Vitamin B-9), Vitamin D-3 Supplement, Menadione Sodium Bisulfite Complex (Vitamin K), Biotin (Vitamin B-7)], Choline Chloride, L-ascorbyl-2-polyphosphate (Vitamin C), Dried Bacillus Coagulans Fermentation Product, L-lysine Monohydrochloride, Garlic Oil. Z445519.",89.0,4.4,2437.0,,,,,,,,,,,,,,,,,,
756422,756422,,N/A,Various,United States,Adult,"Small Breeds, Medium Breeds, Large Breeds, All Breeds",Dry Food,With Grain,Pedigree Complete Nutrition Grilled Steak & Vegetable Flavor Dog Kibble Adult Dry Dog Food,"Ground Whole Grain Corn, Meat And Bone Meal, Corn Gluten Meal, Animal Fat (Source Of Omega 6 Fatty Acids [Preserved With Bha & Citric Acid]), Soybean Meal, Natural Flavor, Chicken By-Product Meal, Dried Plain Beet Pulp, Salt, Potassium Chloride, Brewers Rice, Ground Whole Grain Wheat, Choline Chloride, Calcium Carbonate, Dried Peas, Dl-Methionine, Natural Grilled Steak Flavor, Zinc Sulfate, Vitamin E Supplement, Monocalcium Phosphate, L-Tryptophan, Red 40, Yellow 6, Dried Carrots, Niacin [Vitamin B3], Blue 2, Yellow 5, D-Calcium Pantothenate [Source Of Vitamin B5], Copper Sulfate, Sodium Selenite, Potassium Iodide, Vitamin A Supplement, Riboflavin Supplement [Vitamin B2], Vitamin B12 Supplement, Thiamine Mononitrate [Vitamin B1], Vitamin D3 Supplement, Pyridoxine Hydrochloride [Vitamin B6], Folic Acid.",89.0,4.5,460.0,,,,,,,,,,,,,,,,,,
57182,57182,16.5 pounds,N/A,Various,United States,Adult,"Small Breeds, Medium Breeds, Large Breeds, All Breeds",Dry Food,"High-Protein, Natural, With Grain",Purina ONE Natural SmartBlend Chicken & Rice Formula Dry Dog Food,"Chicken (Source of Glucosamine), Rice Flour, Corn Gluten Meal, Whole Grain Corn, Chicken By-Product Meal (Source of Glucosamine), Whole Grain Wheat, Soybean Meal, Beef Fat Naturally Preserved with Mixed-Tocopherols, Glycerin, Liver Flavor, Calcium Carbonate, Mono and Dicalcium Phosphate, Salt, Caramel Color, Dried Carrots, Dried Peas, Potassium Chloride, Vitamins [Vitamin E Supplement, Niacin (Vitamin B-3), Vitamin A Supplement, Calcium Pantothenate (Vitamin B-5), Thiamine Mononitrate (Vitamin B-1), Vitamin B-12 Supplement, Riboflavin Supplement (Vitamin B-2), Pyridoxine Hydrochloride (Vitamin B-6), Folic Acid (Vitamin B-9), Menadione Sodium Bisulfite Complex (Vitamin K), Vitamin D-3 Supplement, Biotin (Vitamin B-7)], Minerals [Zinc Sulfate, Ferrous Sulfate, Manganese Sulfate, Copper Sulfate, Calcium Iodate, Sodium Selenite], Choline Chloride, L-Lysine Monohydrochloride, Sulfur. X-4154.",93.0,4.6,1694.0,Natural,,,,,,,,,,,,,,,,,
46860,46860,15 pounds,N/A,Various,"N/A, United States",Adult,"Small Breeds, Medium Breeds, Large Breeds, All Breeds",Dry Food,"No Corn No Wheat No Soy, With Grain, Natural",Blue Buffalo Life Protection Formula Adult Chicken & Brown Rice Recipe Dry Dog Food,"Deboned Chicken, Chicken Meal, Brown Rice, Barley, Oatmeal, Pea Starch, Flaxseed (source of Omega 3 & 6 Fatty Acids), Chicken Fat (preserved with Mixed Tocopherols), Natural Flavor, Dried Tomato Pomace, Peas, Pea Protein, Salt, Potassium Chloride, Direct Dehydrated Alfalfa Pellets, Dried Chicory Root, Potatoes, Pea Fiber, Alfalfa Nutrient Concentrate, Calcium Carbonate, Choline Chloride, DL-Methionine, preserved with Mixed Tocopherols, Dicalcium Phosphate, Sweet Potatoes, Carrots, Garlic, Zinc Amino Acid Chelate, Zinc Sulfate, Vegetable Juice for color, Ferrous Sulfate, Vitamin E Supplement, Iron Amino Acid Chelate, Blueberries, Cranberries, Barley Grass, Parsley, Turmeric, Dried Kelp, Yucca Schidigera Extract, Niacin (Vitamin B3), Glucosamine Hydrochloride, Calcium Pantothenate (Vitamin B5), Copper Sulfate, Biotin (Vitamin B7), L-Ascorbyl-2-Polyphosphate (source of Vitamin C), L-Lysine, L-Carnitine, Vitamin A Supplement, Copper Amino Acid Chelate, Manganese Sulfate, Taurine, Manganese Amino Acid Chelate, Thiamine Mononitrate (Vitamin B1), Riboflavin (Vitamin B2), Vitamin D3 Supplement, Vitamin B12 Supplement, Pyridoxine Hydrochloride (Vitamin B6), Calcium Iodate, Dried Yeast, Dried Enterococcus faecium fermentation product, Dried Lactobacillus acidophilus fermentation product, Dried Aspergillus niger fermentation extract, Dried Trichoderma longibrachiatum fermentation extract, Dried Bacillus subtilis fermentation extract, Folic Acid (Vitamin B9), Sodium Selenite, Oil of Rosemary.",89.0,4.4,3047.0,,,,,,,,,,,,,,,,,,
101143,101143,30 pounds,N/A,Various,United States,Adult,"Small Breeds, Medium Breeds, Large Breeds, All Breeds",Dry Food,"High-Protein, Sensitive Digestion, Weight Control, No Corn No Wheat No Soy, With Grain",Purina Pro Plan Adult Sensitive Skin & Stomach Salmon & Rice Formula Dry Dog Food,"Salmon, Rice, Barley, Canola Meal, Oat Meal, Fish Meal, Salmon Meal, Beef Fat Preserved With Mixed-Tocopherols, Dried Yeast, Natural Flavor, Sunflower Oil, Fish Oil, Dried Chicory Root, Calcium Carbonate, Salt, Potassium Chloride, L-Lysine Monohydrochloride, Vitamins [Vitamin E Supplement, Niacin (Vitamin B-3), Vitamin A Supplement, Calcium Pantothenate (Vitamin B-5), Thiamine Mononitrate (Vitamin B-1), Vitamin B-12 Supplement, Riboflavin Supplement (Vitamin B-2), Pyridoxine Hydrochloride, Folic Acid (Vitamin B-9), Menadione Sodium Bisulfite Complex (Vitamin K), Biotin (Vitamin B-7), Vitamin D-3 Supplement], Taurine, Minerals [Zinc Sulfate, Ferrous Sulfate, Manganese Sulfate, Copper Sulfate, Calcium Iodate, Sodium Selenite], DL-Methionine, Choline Chloride, L-Ascorbyl-2-Polyphosphate (Vitamin C). M444922",84.0,4.1,4182.0,,,,,,,,,,,,,,,,,,
104197,104197,38.5 pounds,N/A,Various,N/A,Adult,Small Breeds,Dry Food,With Grain,Iams Proactive Health MiniChunks Small Kibble Adult Chicken & Whole Grain Dry Dog Food,"Chicken, Ground Whole Grain Corn, Ground Whole Grain Sorghum, Chicken By-Product Meal, Dried Plain Beet Pulp, Natural Flavor, Chicken Fat (preserved with Mixed Tocopherols), Dried Egg Product, Flaxseed, Caramel Color, Potassium Chloride, Carrots, Fructooligosaccharides, Choline Chloride, Vitamins (Vitamin E Supplement, Ascorbic Acid, D-Calcium Pantothenate, Biotin, Thiamine Mononitrate (Vitamin B1), Vitamin B12 Supplement, Vitamin A Supplement, Niacin, Riboflavin Supplement (Vitamin B2), Pyridoxine Hydrochloride (Vitamin B6), Vitamin D3 Supplement, Folic Acid), Minerals (Ferrous Sulfate, Zinc Oxide, Sodium Selenite, Manganese Sulfate, Copper Sulfate, Potassium Iodide, Manganous Oxide), Mixed Tocopherols (preservative), Citric Acid (preservative), Rosemary Extract",95.0,4.7,1169.0,,,,,,,,,,,,,,,,,,
134035,134035,31 pounds,N/A,,United States,Adult,"Small Breeds, Medium Breeds, Large Breeds, All Breeds",Dry Food,With Grain,Kibbles 'n Bits Original Savory Beef & Chicken Flavors Dry Dog Food,"Corn, Soybean Meal, Beef & Bone Meal, Whole Wheat, Animal Fat (BHA Used as Preservative), Corn Syrup, Wheat Middlings, Water Sufficient For Processing, Animal Digest (Source Of Chicken Flavor), Propylene Glycol, Salt, Hydrochloric Acid, Potassium Chloride, Peas, Caramel Color, Sorbic Acid (Used as a Preservative), Choline Chloride, Sodium Carbonate, Minerals (Ferrous Sulfate, Zinc Oxide, Manganous Oxide, Copper Sulfate, Calcium Iodate, Sodium Selenite), Vitamins (Vitamin E Supplement, Niacin, D-Calcium Pantothenate, Vitamin a Supplement, Riboflavin Supplement, Thiamine Mononitrate, Vitamin D3 Supplement, Vitamin B12 Supplement, Pyridoxine Hydrochloride, Folic Acid, Biotin), Dl-Methionine, Calcium Sulfate, Carrots, Green Beans, Wheat Flour, Titanium Dioxide (Color), Yellow 5, Yellow 6, Red 40, BHA (Used as a Preservative), Blue 1.",88.0,4.3,702.0,,,,,,,,,,,,,,,,,,
100194,100194,18.5 pounds,N/A,Various,United States,Adult,"Small Breeds, Medium Breeds, Large Breeds, All Breeds",Dry Food,With Grain,Dog Chow Complete Adult with Real Chicken Dry Dog Food,"Whole Grain Corn, Meat And Bone Meal, Corn Gluten Meal, Beef Fat Naturally Preserved With Mixed-Tocopherols, Soybean Meal, Poultry By-Product Meal, Chicken, Egg And Chicken Flavor, Whole Grain Wheat, Animal Digest, Salt, Calcium Carbonate, Potassium Chloride, Mono And Dicalcium Phosphate, L-Lysine Monohydrochloride, Choline Chloride, Minerals [Zinc Sulfate, Ferrous Sulfate, Manganese Sulfate, Copper Sulfate, Calcium Iodate, Sodium Selenite], Vitamins [Vitamin E Supplement, Niacin (Vitamin B-3), Vitamin A Supplement, Calcium Pantothenate (Vitamin B-5), Pyridoxine Hydrochloride (Vitamin B-6), Vitamin B-12 Supplement, Thiamine Mononitrate (Vitamin B-1), Vitamin D-3 Supplement, Riboflavin Supplement (Vitamin B-2), Menadione Sodium Bisulfite Complex (Vitamin K), Folic Acid (Vitamin B-9), Biotin (Vitamin B-7)], Yellow 6, Yellow 5, Red 40, Blue 2, Garlic Oil. E-4101.",93.0,4.5,568.0,,,,,,,,,,,,,,,,,,
91792,91792,15 pounds,N/A,Various,United States,Adult,"Small Breeds, Medium Breeds, Large Breeds, All Breeds",Dry Food,"High-Protein, Natural, With Grain",Purina ONE True Instinct Natural High Protein with Real Turkey & Venison Dry Dog Food,"Turkey, Chicken Meal, Soy Flour, Beef Fat Preserved With Mixed-tocopherols, Whole Grain Wheat, Whole Grain Corn, Corn Gluten Meal, Soy Flakes, Corn Germ Meal, Glycerin, Venison, Natural Flavor, Oat Meal, Calcium Carbonate, Salt, Mono And Dicalcium Phosphate, Vitamins [Vitamin E Supplement, Niacin (Vitamin B-3), Vitamin A Supplement, Calcium Pantothenate (Vitamin B-5), Thiamine Mononitrate (Vitamin B-1), Vitamin B-12 Supplement, Riboflavin Supplement (Vitamin B-2), Pyridoxine Hydrochloride (Vitamin B-6), Folic Acid (Vitamin B-9), Vitamin D-3 Supplement, Menadione Sodium Bisulfite Complex (Vitamin K), Biotin (Vitamin B-7)], Vegetable Juice (Color), Potassium Chloride, Minerals [Zinc Sulfate, Ferrous Sulfate, Manganese Sulfate, Copper Sulfate, Calcium Iodate, Sodium Selenite], Choline Chloride.",93.0,4.5,1456.0,Natural,,,,,,,,,,,,,,,,,
154550,154550,14 pounds,N/A,Various,United States,Adult,"Small Breeds, Medium Breeds, Large Breeds, All Breeds",Dry Food,"Grain-Free, Gluten Free, High-Protein",Taste of the Wild High Prairie Grain-Free Dry Dog Food,"Water Buffalo, Lamb Meal, Chicken Meal, Sweet Potatoes, Peas, Pea Flour, Chicken Fat (Preserved With Mixed Tocopherols), Egg Product, Roasted Bison, Roasted Venison, Beef, Natural Flavor, Tomato Pomace, Ocean Fish Meal, Salt, Choline Chloride, Taurine, Dried Chicory Root, Tomatoes, Blueberries, Raspberries, Yucca Schidigera Extract, Dried Lactobacillus Plantarum Fermentation Product, Dried Bacillus Subtilis Fermentation Product, Dried Lactobacillus Acidophilus Fermentation Product, Dried Enterococcus Faecium Fermentation Product, Dried Bifidobacterium Animalis Fermentation Product, Vitamin E Supplement, Iron Proteinate, Zinc Proteinate, Copper Proteinate, Ferrous Sulfate, Zinc Sulfate, Manganese Sulfate, Copper Sulfate, Potassium Iodide, Thiamine Mononitrate, Manganese Proteinate, Ascorbic Acid, Vitamin A Supplement, Biotin, Niacin, Calcium Pantothenate, Sodium Selenite, Pyridoxine Hydrochloride, Vitamin B12 Supplement, Riboflavin, Vitamin D3 Supplement, Folic Acid.",90.0,4.5,4050.0,,,,,,,,,,,,,,,,,,
